cbgs_id,week,count
530019501001 ,2020/4/27,4
530019501003 ,2020/4/27,4
530019502003 ,2020/4/27,4
530019503001 ,2020/4/27,8
530019503002 ,2020/4/27,4
530019503003 ,2020/4/27,4
530019503005 ,2020/4/27,12
530019504001 ,2020/4/27,8
530019504002 ,2020/4/27,8
530019505001 ,2020/4/27,27
530019505002 ,2020/4/27,15
530039601001 ,2020/4/27,8
530039601002 ,2020/4/27,8
530039601003 ,2020/4/27,24
530039602001 ,2020/4/27,13
530039602002 ,2020/4/27,8
530039602004 ,2020/4/27,17
530039603001 ,2020/4/27,13
530039603003 ,2020/4/27,4
530039603004 ,2020/4/27,15
530039604002 ,2020/4/27,8
530039605001 ,2020/4/27,9
530039605002 ,2020/4/27,11
530039605003 ,2020/4/27,8
530039605004 ,2020/4/27,4
530039606001 ,2020/4/27,4
530039606002 ,2020/4/27,14
530039606003 ,2020/4/27,21
530050101001 ,2020/4/27,16
530050101002 ,2020/4/27,30
530050102011 ,2020/4/27,12
530050102012 ,2020/4/27,16
530050102013 ,2020/4/27,43
530050102021 ,2020/4/27,4
530050102022 ,2020/4/27,15
530050102023 ,2020/4/27,4
530050102024 ,2020/4/27,10
530050102025 ,2020/4/27,20
530050103001 ,2020/4/27,20
530050103002 ,2020/4/27,4
530050103003 ,2020/4/27,18
530050103004 ,2020/4/27,18
530050104001 ,2020/4/27,25
530050104002 ,2020/4/27,4
530050104003 ,2020/4/27,4
530050105001 ,2020/4/27,12
530050105003 ,2020/4/27,38
530050106001 ,2020/4/27,17
530050106002 ,2020/4/27,8
530050106003 ,2020/4/27,4
530050106004 ,2020/4/27,21
530050106005 ,2020/4/27,4
530050107012 ,2020/4/27,10
530050107031 ,2020/4/27,26
530050107032 ,2020/4/27,8
530050107033 ,2020/4/27,27
530050107051 ,2020/4/27,8
530050107052 ,2020/4/27,8
530050107053 ,2020/4/27,8
530050107054 ,2020/4/27,30
530050107071 ,2020/4/27,30
530050107073 ,2020/4/27,8
530050107081 ,2020/4/27,4
530050107083 ,2020/4/27,8
530050107084 ,2020/4/27,18
530050108031 ,2020/4/27,9
530050108032 ,2020/4/27,24
530050108033 ,2020/4/27,65
530050108034 ,2020/4/27,34
530050108051 ,2020/4/27,27
530050108052 ,2020/4/27,32
530050108053 ,2020/4/27,12
530050108054 ,2020/4/27,33
530050108071 ,2020/4/27,29
530050108091 ,2020/4/27,36
530050108092 ,2020/4/27,47
530050108093 ,2020/4/27,24
530050108101 ,2020/4/27,8
530050108102 ,2020/4/27,29
530050108103 ,2020/4/27,25
530050108111 ,2020/4/27,38
530050108112 ,2020/4/27,25
530050108131 ,2020/4/27,20
530050108132 ,2020/4/27,34
530050108133 ,2020/4/27,29
530050108134 ,2020/4/27,16
530050108135 ,2020/4/27,38
530050108141 ,2020/4/27,4
530050108142 ,2020/4/27,47
530050109012 ,2020/4/27,8
530050109013 ,2020/4/27,4
530050109014 ,2020/4/27,16
530050109015 ,2020/4/27,16
530050109016 ,2020/4/27,24
530050109021 ,2020/4/27,4
530050109022 ,2020/4/27,16
530050110012 ,2020/4/27,15
530050110013 ,2020/4/27,33
530050110014 ,2020/4/27,4
530050110015 ,2020/4/27,8
530050110016 ,2020/4/27,4
530050110021 ,2020/4/27,8
530050110022 ,2020/4/27,4
530050110023 ,2020/4/27,4
530050110024 ,2020/4/27,9
530050111001 ,2020/4/27,14
530050111002 ,2020/4/27,20
530050111003 ,2020/4/27,4
530050111004 ,2020/4/27,6
530050111005 ,2020/4/27,4
530050111006 ,2020/4/27,12
530050112001 ,2020/4/27,8
530050112002 ,2020/4/27,8
530050112004 ,2020/4/27,8
530050112005 ,2020/4/27,21
530050112006 ,2020/4/27,5
530050113001 ,2020/4/27,24
530050113002 ,2020/4/27,4
530050113003 ,2020/4/27,37
530050113004 ,2020/4/27,8
530050114011 ,2020/4/27,21
530050114012 ,2020/4/27,4
530050114013 ,2020/4/27,17
530050114022 ,2020/4/27,8
530050114023 ,2020/4/27,4
530050114024 ,2020/4/27,20
530050114025 ,2020/4/27,12
530050115012 ,2020/4/27,4
530050115013 ,2020/4/27,4
530050115014 ,2020/4/27,24
530050115015 ,2020/4/27,10
530050115031 ,2020/4/27,40
530050115032 ,2020/4/27,12
530050115033 ,2020/4/27,9
530050115034 ,2020/4/27,29
530050115035 ,2020/4/27,16
530050115036 ,2020/4/27,21
530050115041 ,2020/4/27,9
530050115042 ,2020/4/27,36
530050116001 ,2020/4/27,4
530050117001 ,2020/4/27,11
530050117002 ,2020/4/27,4
530050117003 ,2020/4/27,8
530050117004 ,2020/4/27,17
530050117005 ,2020/4/27,4
530050118001 ,2020/4/27,4
530050118002 ,2020/4/27,8
530050118003 ,2020/4/27,29
530050118004 ,2020/4/27,8
530050119001 ,2020/4/27,4
530050119002 ,2020/4/27,14
530050119003 ,2020/4/27,8
530050119004 ,2020/4/27,8
530079601001 ,2020/4/27,4
530079602003 ,2020/4/27,8
530079602004 ,2020/4/27,4
530079603001 ,2020/4/27,4
530079603002 ,2020/4/27,4
530079603003 ,2020/4/27,24
530079603005 ,2020/4/27,4
530079603006 ,2020/4/27,4
530079603007 ,2020/4/27,13
530079604001 ,2020/4/27,4
530079604003 ,2020/4/27,12
530079605001 ,2020/4/27,5
530079605002 ,2020/4/27,4
530079605003 ,2020/4/27,26
530079605004 ,2020/4/27,8
530079605006 ,2020/4/27,21
530079606001 ,2020/4/27,23
530079606002 ,2020/4/27,17
530079606003 ,2020/4/27,14
530079607001 ,2020/4/27,26
530079608011 ,2020/4/27,8
530079608021 ,2020/4/27,12
530079608023 ,2020/4/27,24
530079608024 ,2020/4/27,12
530079608025 ,2020/4/27,8
530079610001 ,2020/4/27,8
530079610005 ,2020/4/27,8
530079610007 ,2020/4/27,9
530079611001 ,2020/4/27,8
530079611002 ,2020/4/27,8
530079611003 ,2020/4/27,13
530079611004 ,2020/4/27,20
530079611005 ,2020/4/27,4
530079612001 ,2020/4/27,4
530079612002 ,2020/4/27,4
530079613022 ,2020/4/27,4
530079613023 ,2020/4/27,8
530079613024 ,2020/4/27,18
530079613025 ,2020/4/27,8
530079613026 ,2020/4/27,8
530090003001 ,2020/4/27,4
530090003002 ,2020/4/27,7
530090003003 ,2020/4/27,4
530090006003 ,2020/4/27,8
530090007002 ,2020/4/27,13
530090008001 ,2020/4/27,8
530090008002 ,2020/4/27,8
530090008003 ,2020/4/27,8
530090010001 ,2020/4/27,4
530090011003 ,2020/4/27,4
530090013002 ,2020/4/27,11
530090014002 ,2020/4/27,4
530090015001 ,2020/4/27,4
530090017001 ,2020/4/27,4
530090018001 ,2020/4/27,8
530090023001 ,2020/4/27,4
530090023002 ,2020/4/27,12
530099400001 ,2020/4/27,4
530110401011 ,2020/4/27,12
530110401012 ,2020/4/27,8
530110401013 ,2020/4/27,16
530110401022 ,2020/4/27,8
530110402011 ,2020/4/27,4
530110402012 ,2020/4/27,20
530110402013 ,2020/4/27,4
530110402014 ,2020/4/27,15
530110402022 ,2020/4/27,8
530110402031 ,2020/4/27,17
530110402032 ,2020/4/27,4
530110402033 ,2020/4/27,26
530110403011 ,2020/4/27,10
530110403012 ,2020/4/27,4
530110403021 ,2020/4/27,22
530110403022 ,2020/4/27,53
530110403023 ,2020/4/27,8
530110404031 ,2020/4/27,4
530110404032 ,2020/4/27,12
530110404071 ,2020/4/27,13
530110404072 ,2020/4/27,21
530110404073 ,2020/4/27,32
530110404081 ,2020/4/27,33
530110404082 ,2020/4/27,4
530110404112 ,2020/4/27,4
530110404121 ,2020/4/27,24
530110404122 ,2020/4/27,23
530110404131 ,2020/4/27,30
530110404132 ,2020/4/27,20
530110404141 ,2020/4/27,8
530110404142 ,2020/4/27,55
530110404143 ,2020/4/27,20
530110404151 ,2020/4/27,20
530110404152 ,2020/4/27,20
530110404161 ,2020/4/27,8
530110404162 ,2020/4/27,4
530110404163 ,2020/4/27,4
530110405041 ,2020/4/27,12
530110405042 ,2020/4/27,14
530110405043 ,2020/4/27,12
530110405051 ,2020/4/27,21
530110405052 ,2020/4/27,4
530110405071 ,2020/4/27,10
530110405072 ,2020/4/27,10
530110405081 ,2020/4/27,16
530110405082 ,2020/4/27,20
530110405083 ,2020/4/27,43
530110405091 ,2020/4/27,16
530110405092 ,2020/4/27,13
530110405101 ,2020/4/27,9
530110405102 ,2020/4/27,12
530110405103 ,2020/4/27,28
530110405111 ,2020/4/27,4
530110405112 ,2020/4/27,21
530110406031 ,2020/4/27,15
530110406032 ,2020/4/27,6
530110406033 ,2020/4/27,5
530110406034 ,2020/4/27,8
530110406041 ,2020/4/27,43
530110406042 ,2020/4/27,16
530110406043 ,2020/4/27,8
530110406051 ,2020/4/27,13
530110406052 ,2020/4/27,6
530110406053 ,2020/4/27,36
530110406081 ,2020/4/27,36
530110406082 ,2020/4/27,24
530110406091 ,2020/4/27,17
530110406092 ,2020/4/27,37
530110406101 ,2020/4/27,25
530110406102 ,2020/4/27,4
530110407031 ,2020/4/27,13
530110407032 ,2020/4/27,10
530110407034 ,2020/4/27,13
530110407061 ,2020/4/27,25
530110407062 ,2020/4/27,32
530110407071 ,2020/4/27,4
530110407072 ,2020/4/27,4
530110407091 ,2020/4/27,28
530110407092 ,2020/4/27,4
530110407101 ,2020/4/27,12
530110407102 ,2020/4/27,11
530110407103 ,2020/4/27,85
530110407111 ,2020/4/27,4
530110407112 ,2020/4/27,8
530110407121 ,2020/4/27,19
530110407123 ,2020/4/27,8
530110407124 ,2020/4/27,16
530110408031 ,2020/4/27,12
530110408032 ,2020/4/27,4
530110408033 ,2020/4/27,4
530110408034 ,2020/4/27,4
530110408051 ,2020/4/27,12
530110408052 ,2020/4/27,12
530110408053 ,2020/4/27,12
530110408054 ,2020/4/27,16
530110408061 ,2020/4/27,12
530110408062 ,2020/4/27,8
530110408063 ,2020/4/27,8
530110408081 ,2020/4/27,4
530110408091 ,2020/4/27,16
530110408092 ,2020/4/27,4
530110408093 ,2020/4/27,12
530110408094 ,2020/4/27,8
530110408101 ,2020/4/27,16
530110408102 ,2020/4/27,8
530110409042 ,2020/4/27,18
530110409043 ,2020/4/27,19
530110409044 ,2020/4/27,16
530110409051 ,2020/4/27,4
530110409052 ,2020/4/27,8
530110409071 ,2020/4/27,22
530110409072 ,2020/4/27,29
530110409082 ,2020/4/27,12
530110409083 ,2020/4/27,38
530110409084 ,2020/4/27,14
530110409091 ,2020/4/27,16
530110409092 ,2020/4/27,22
530110409101 ,2020/4/27,17
530110409102 ,2020/4/27,30
530110410031 ,2020/4/27,6
530110410032 ,2020/4/27,8
530110410033 ,2020/4/27,6
530110410034 ,2020/4/27,10
530110410051 ,2020/4/27,20
530110410052 ,2020/4/27,12
530110410071 ,2020/4/27,4
530110410072 ,2020/4/27,16
530110410073 ,2020/4/27,4
530110410081 ,2020/4/27,14
530110410082 ,2020/4/27,27
530110410091 ,2020/4/27,8
530110410092 ,2020/4/27,4
530110410093 ,2020/4/27,8
530110410101 ,2020/4/27,4
530110410102 ,2020/4/27,12
530110410111 ,2020/4/27,15
530110410112 ,2020/4/27,4
530110411041 ,2020/4/27,26
530110411042 ,2020/4/27,14
530110411051 ,2020/4/27,20
530110411052 ,2020/4/27,5
530110411053 ,2020/4/27,20
530110411071 ,2020/4/27,16
530110411081 ,2020/4/27,8
530110411082 ,2020/4/27,14
530110411083 ,2020/4/27,15
530110411101 ,2020/4/27,18
530110411102 ,2020/4/27,8
530110411103 ,2020/4/27,4
530110411111 ,2020/4/27,17
530110411112 ,2020/4/27,16
530110411121 ,2020/4/27,17
530110411122 ,2020/4/27,13
530110411123 ,2020/4/27,8
530110411124 ,2020/4/27,23
530110412011 ,2020/4/27,16
530110412013 ,2020/4/27,9
530110412014 ,2020/4/27,8
530110412015 ,2020/4/27,4
530110412031 ,2020/4/27,20
530110412032 ,2020/4/27,8
530110412033 ,2020/4/27,29
530110412051 ,2020/4/27,8
530110412052 ,2020/4/27,18
530110412053 ,2020/4/27,4
530110412061 ,2020/4/27,8
530110412062 ,2020/4/27,20
530110412063 ,2020/4/27,8
530110413091 ,2020/4/27,4
530110413092 ,2020/4/27,8
530110413093 ,2020/4/27,12
530110413101 ,2020/4/27,4
530110413102 ,2020/4/27,17
530110413103 ,2020/4/27,8
530110413121 ,2020/4/27,16
530110413122 ,2020/4/27,33
530110413131 ,2020/4/27,24
530110413171 ,2020/4/27,46
530110413172 ,2020/4/27,13
530110413181 ,2020/4/27,16
530110413182 ,2020/4/27,16
530110413183 ,2020/4/27,14
530110413184 ,2020/4/27,29
530110413191 ,2020/4/27,16
530110413192 ,2020/4/27,12
530110413193 ,2020/4/27,12
530110413201 ,2020/4/27,19
530110413202 ,2020/4/27,4
530110413203 ,2020/4/27,4
530110413204 ,2020/4/27,25
530110413211 ,2020/4/27,20
530110413212 ,2020/4/27,8
530110413221 ,2020/4/27,12
530110413222 ,2020/4/27,4
530110413223 ,2020/4/27,9
530110413232 ,2020/4/27,4
530110413233 ,2020/4/27,4
530110413234 ,2020/4/27,4
530110413251 ,2020/4/27,31
530110413252 ,2020/4/27,9
530110413253 ,2020/4/27,8
530110413261 ,2020/4/27,40
530110413271 ,2020/4/27,24
530110413272 ,2020/4/27,18
530110413273 ,2020/4/27,15
530110413274 ,2020/4/27,13
530110413281 ,2020/4/27,20
530110413282 ,2020/4/27,12
530110413283 ,2020/4/27,42
530110413291 ,2020/4/27,25
530110413292 ,2020/4/27,9
530110413301 ,2020/4/27,12
530110413302 ,2020/4/27,16
530110413303 ,2020/4/27,4
530110413311 ,2020/4/27,21
530110413312 ,2020/4/27,12
530110413321 ,2020/4/27,20
530110413322 ,2020/4/27,13
530110413331 ,2020/4/27,12
530110413332 ,2020/4/27,45
530110414001 ,2020/4/27,16
530110414002 ,2020/4/27,29
530110414003 ,2020/4/27,38
530110415001 ,2020/4/27,21
530110415002 ,2020/4/27,4
530110415003 ,2020/4/27,12
530110416001 ,2020/4/27,37
530110416002 ,2020/4/27,8
530110416003 ,2020/4/27,8
530110417001 ,2020/4/27,24
530110417002 ,2020/4/27,18
530110418001 ,2020/4/27,12
530110418002 ,2020/4/27,4
530110418003 ,2020/4/27,5
530110419001 ,2020/4/27,4
530110419002 ,2020/4/27,12
530110420001 ,2020/4/27,4
530110420002 ,2020/4/27,4
530110421001 ,2020/4/27,4
530110421002 ,2020/4/27,24
530110423001 ,2020/4/27,12
530110423002 ,2020/4/27,4
530110424001 ,2020/4/27,4
530110424002 ,2020/4/27,8
530110425001 ,2020/4/27,10
530110425002 ,2020/4/27,4
530110426001 ,2020/4/27,13
530110426002 ,2020/4/27,16
530110426003 ,2020/4/27,4
530110427001 ,2020/4/27,16
530110427002 ,2020/4/27,8
530110427003 ,2020/4/27,8
530110428001 ,2020/4/27,4
530110428002 ,2020/4/27,4
530110429001 ,2020/4/27,9
530110430002 ,2020/4/27,8
530110431001 ,2020/4/27,21
530110431004 ,2020/4/27,8
530139602002 ,2020/4/27,4
530139602003 ,2020/4/27,5
530150003001 ,2020/4/27,8
530150004001 ,2020/4/27,12
530150004002 ,2020/4/27,8
530150004003 ,2020/4/27,4
530150004005 ,2020/4/27,16
530150005011 ,2020/4/27,14
530150005012 ,2020/4/27,9
530150005021 ,2020/4/27,13
530150005022 ,2020/4/27,9
530150005023 ,2020/4/27,25
530150006011 ,2020/4/27,8
530150006013 ,2020/4/27,16
